,PRBodySize,CommitSize,No_of_Files_Changed,socialDistance,No_of_Comments,timeSpentOnPR,repositoryAge,No_of_collaborators,No_of_Stars,No_of_Watchers,No_of_OpenIssues,No_of_followers_Submitter,submitterStatus,pullrequestDecision
18001,0,4,1,0,0,0,1039,30,5692,5692,206,0,0,1
18002,0,188,5,0,0,0,539,12,82,82,95,10,1,1
18003,153,52,2,0,10,6,663,30,8395,8395,133,30,1,1
18004,224,40,1,0,0,2,113,30,18,18,4,10,0,1
18005,0,702,10,0,23,1,625,22,22,22,8,30,1,1
18006,0,5622,52,0,0,0,1520,30,198,198,485,30,1,1
18007,225,8,1,0,0,0,1417,30,4532,4532,2063,5,0,1
18008,8,49,3,-1,1,0,1000,30,1740,1740,35,-1,0,1
18009,0,50,4,0,0,2,1348,22,169,169,14,30,1,1
18010,315,203,9,0,19,23,1301,30,266,266,28,30,1,1
18011,123,2,1,0,0,0,1417,30,4532,4532,2062,30,0,1
18012,297,25,2,0,1,0,1372,30,2483,2483,581,30,1,1
18013,67,4,1,0,0,0,1424,9,14,14,4,3,1,1
18014,75,65,5,0,0,0,241,-1,164,164,1,30,0,1
18015,0,2,1,0,0,0,128,30,204,204,9,30,1,1
18016,191,666,2,0,0,0,1216,13,6,6,16,10,1,1
18017,217,2,1,0,1,0,852,30,958,958,75,30,0,1
18018,0,38,2,0,1,0,1372,30,2483,2483,580,26,1,1
18019,0,27,3,0,0,0,96,30,47,47,55,30,1,1
18020,0,22,2,0,0,0,1323,26,41,41,7,30,1,1
18021,74,17,1,0,1,1,1004,30,387,387,107,0,0,1
18022,55,96,3,0,1,0,1084,30,1066,1066,3,30,1,1
18023,0,11,2,0,7,0,1713,30,1868,1868,1785,30,1,1
18024,9,2,1,0,0,0,576,30,143,143,10,4,0,1
18025,0,12,1,0,1,0,464,10,3,3,3,30,1,1
18026,136,53,2,0,2,1,117,30,128,128,36,30,1,1
18027,0,1,1,0,0,0,576,30,143,143,9,4,0,1
18028,339,1,1,0,0,0,128,30,204,204,8,30,1,1
18029,921,2369,16,0,4,18,38,30,12,12,10,3,1,1
